contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
NODE_A6_length_5292_cov_12.897411_BlackFly18	5292	No	NA	6	1	0	Low-quality	Genome-fragment	3.16	HMM-based (lower-bound)	0.0	1.0	
NODE_A42_length_5285_cov_5.798579_BlackFly15	5285	No	NA	6	6	0	Low-quality	Genome-fragment	12.51	AAI-based (high-confidence)	0.0	1.0	
NODE_A70_length_5283_cov_5.721667_BlackFly28	5283	No	NA	14	3	0	Low-quality	Genome-fragment	9.88	AAI-based (medium-confidence)	0.0	1.0	
NODE_A81_length_5283_cov_10.174414_BlackFly19	5283	No	NA	8	5	0	Low-quality	Genome-fragment	9.56	HMM-based (lower-bound)	0.0	1.0	
NODE_A30_length_5278_cov_13.807537_BlackFly48	5278	No	NA	8	4	0	Low-quality	Genome-fragment	3.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A50_length_5277_cov_5.480000_BlackFly36	5277	No	NA	5	0	0	Low-quality	Genome-fragment	23.26	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
NODE_A32_length_5276_cov_10.690133_BlackFly4	5276	No	NA	6	4	0	Low-quality	Genome-fragment	11.31	HMM-based (lower-bound)	0.0	1.0	
NODE_A31_length_5274_cov_23.240716_BlackFly48	5274	No	NA	4	4	0	Low-quality	Genome-fragment	15.12	AAI-based (high-confidence)	0.0	1.0	
NODE_A37_length_5272_cov_9.970549_BlackFly23	5272	No	NA	7	7	0	Low-quality	Genome-fragment	6.27	HMM-based (lower-bound)	0.0	1.0	
NODE_A13_length_5271_cov_17.848672_BlackFly34	5271	No	NA	1	1	0	Medium-quality	Genome-fragment	89.73	AAI-based (medium-confidence)	0.0	1.0	
NODE_A32_length_5270_cov_11.183131_BlackFly48	5270	No	NA	6	6	0	Low-quality	Genome-fragment	3.11	AAI-based (high-confidence)	0.0	1.0	
NODE_A39_length_5253_cov_131.123454_BlackFly29	5253	No	NA	14	1	0	Low-quality	Genome-fragment	3.53	HMM-based (lower-bound)	0.0	1.0	
NODE_A6_length_5246_cov_6.771909_BlackFly46	5246	No	NA	2	1	0	Medium-quality	Genome-fragment	57.6	HMM-based (lower-bound)	0.0	1.0	
NODE_A23_length_5232_cov_6.217071_BlackFly44	5232	No	NA	7	4	0	Low-quality	Genome-fragment	12.35	AAI-based (high-confidence)	0.0	1.0	
NODE_A44_length_5225_cov_11.072261_BlackFly15	5225	No	NA	7	7	0	Low-quality	Genome-fragment	13.6	AAI-based (high-confidence)	0.0	1.0	
NODE_A82_length_5225_cov_7.342075_BlackFly19	5225	No	NA	7	5	0	Low-quality	Genome-fragment	10.16	AAI-based (medium-confidence)	0.0	1.0	
NODE_A36_length_5219_cov_6.729288_BlackFly52	5219	No	NA	6	5	0	Low-quality	Genome-fragment	12.79	AAI-based (high-confidence)	0.0	1.0	
NODE_A8_length_5186_cov_11.762576_BlackFly18	5186	No	NA	4	1	0	Low-quality	Genome-fragment	4.17	AAI-based (high-confidence)	0.0	1.0	
NODE_A37_length_5184_cov_10.100646_BlackFly52	5184	No	NA	10	4	0	Low-quality	Genome-fragment	12.65	AAI-based (high-confidence)	0.0	1.0	
NODE_A43_length_5172_cov_10.229048_BlackFly31	5172	No	NA	9	1	0	Low-quality	Genome-fragment	9.36	HMM-based (lower-bound)	0.0	1.0	
NODE_A19_length_5169_cov_708.666929_BlackFly21	5169	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_A16_length_5167_cov_93.955796_BlackFly53	5167	No	NA	5	2	0	Low-quality	Genome-fragment	11.04	AAI-based (medium-confidence)	0.0	1.0	
NODE_A34_length_5156_cov_38.068124_BlackFly30	5156	No	NA	1	0	0	Low-quality	Genome-fragment	41.81	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
NODE_A45_length_5150_cov_6.718116_BlackFly15	5150	No	NA	3	2	0	Low-quality	Genome-fragment	11.05	AAI-based (high-confidence)	0.0	1.0	
NODE_A25_length_5142_cov_21.105824_BlackFly39	5142	No	NA	5	1	0	Low-quality	Genome-fragment	3.38	HMM-based (lower-bound)	0.0	1.0	
NODE_A42_length_5127_cov_10.418614_BlackFly29	5127	No	NA	8	8	0	Low-quality	Genome-fragment	9.95	AAI-based (medium-confidence)	0.0	1.0	
NODE_A43_length_5126_cov_448.006932_BlackFly29	5126	No	NA	4	3	0	Low-quality	Genome-fragment	14.03	AAI-based (medium-confidence)	0.0	1.0	
NODE_A83_length_5126_cov_17.581501_BlackFly19	5126	No	NA	8	3	0	Low-quality	Genome-fragment	10.19	AAI-based (medium-confidence)	0.0	1.0	
NODE_A62_length_5125_cov_7.693740_BlackFly43	5125	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_A28_length_5120_cov_16.830061_BlackFly9	5120	No	NA	13	9	0	Low-quality	Genome-fragment	11.51	AAI-based (high-confidence)	0.0	1.0	
NODE_A101_length_5118_cov_21.874231_BlackFly49	5118	No	NA	9	1	0	Low-quality	Genome-fragment	8.36	HMM-based (lower-bound)	0.0	1.0	
NODE_A24_length_5118_cov_11.284666_BlackFly20	5118	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_A38_length_5118_cov_6.721682_BlackFly52	5118	No	NA	14	7	0	Low-quality	Genome-fragment	12.71	AAI-based (medium-confidence)	0.0	1.0	
NODE_A52_length_5116_cov_8.038500_BlackFly36	5116	No	NA	5	5	0	Low-quality	Genome-fragment	10.94	AAI-based (high-confidence)	0.0	1.0	
NODE_A25_length_5115_cov_6.462485_BlackFly5	5115	No	NA	6	4	0	Low-quality	Genome-fragment	8.44	HMM-based (lower-bound)	0.0	1.0	
NODE_A103_length_5112_cov_16.763059_BlackFly57	5112	No	NA	7	1	0	Low-quality	Genome-fragment	4.63	HMM-based (lower-bound)	0.0	1.0	
NODE_A39_length_5112_cov_50.409930_BlackFly52	5112	No	NA	4	0	0	Low-quality	Genome-fragment	9.93	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NODE_A26_length_5103_cov_8.025269_BlackFly42	5103	No	NA	8	8	0	Low-quality	Genome-fragment	8.83	AAI-based (medium-confidence)	0.0	1.0	
NODE_A23_length_5102_cov_22.080398_BlackFly32	5102	No	NA	15	1	0	Low-quality	Genome-fragment	7.76	HMM-based (lower-bound)	0.0	1.0	
NODE_A20_length_5097_cov_25.985060_BlackFly21	5097	No	NA	2	2	0	High-quality	High-quality	96.69	AAI-based (high-confidence)	0.0	1.0	
NODE_A12_length_5065_cov_8.107257_BlackFly45	5065	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
NODE_A64_length_5063_cov_8.752908_BlackFly43	5063	No	NA	8	3	0	Low-quality	Genome-fragment	4.42	AAI-based (medium-confidence)	0.0	1.0	
NODE_A63_length_5060_cov_17.303231_BlackFly16	5060	No	NA	7	2	0	Low-quality	Genome-fragment	11.69	AAI-based (high-confidence)	0.0	1.0	
NODE_A16_length_5057_cov_35.874900_BlackFly35	5057	No	NA	2	2	0	High-quality	High-quality	96.94	AAI-based (high-confidence)	0.0	1.0	
NODE_A27_length_5028_cov_440.835791_BlackFly42	5028	No	NA	2	2	0	High-quality	High-quality	95.96	AAI-based (high-confidence)	0.0	1.0	
NODE_A44_length_5024_cov_302.230645_BlackFly29	5024	No	NA	9	3	0	Low-quality	Genome-fragment	5.0	HMM-based (lower-bound)	0.0	1.0	
NODE_A33_length_5023_cov_14.758795_BlackFly48	5023	No	NA	7	2	0	Low-quality	Genome-fragment	2.89	AAI-based (high-confidence)	0.0	1.0	
NODE_A64_length_5015_cov_9.036655_BlackFly16	5015	No	NA	7	5	0	Low-quality	Genome-fragment	8.6	HMM-based (lower-bound)	0.0	1.0	
NODE_A65_length_5008_cov_8.229568_BlackFly16	5008	No	NA	1	1	0	Medium-quality	Genome-fragment	52.03	AAI-based (high-confidence)	0.0	1.0	
NODE_A66_length_5002_cov_11.769543_BlackFly16	5002	No	NA	5	4	0	Low-quality	Genome-fragment	8.57	AAI-based (medium-confidence)	0.0	1.0	
NODE_A67_length_5001_cov_5.366572_BlackFly16	5001	No	NA	6	4	0	Low-quality	Genome-fragment	11.8	AAI-based (medium-confidence)	0.0	1.0	
NODE_A40_length_5000_cov_16.924436_BlackFly52	5000	No	NA	6	4	0	Low-quality	Genome-fragment	11.62	AAI-based (medium-confidence)	0.0	1.0	
NODE_A75_length_5000_cov_17.505180_BlackFly28	5000	No	NA	4	4	0	Low-quality	Genome-fragment	2.93	AAI-based (high-confidence)	0.0	1.0	
NODE_A33_length_4991_cov_4.766382_BlackFly4	4991	No	NA	5	2	0	Low-quality	Genome-fragment	14.17	AAI-based (high-confidence)	0.0	1.0	
NODE_A40_length_4990_cov_6.029310_BlackFly23	4990	No	NA	9	1	0	Low-quality	Genome-fragment	2.76	HMM-based (lower-bound)	0.0	1.0	
NODE_A84_length_4987_cov_19.971690_BlackFly19	4987	No	NA	6	4	0	Low-quality	Genome-fragment	9.95	AAI-based (medium-confidence)	0.0	1.0	
NODE_A24_length_4986_cov_6.394581_BlackFly44	4986	No	NA	7	1	0	Low-quality	Genome-fragment	9.72	AAI-based (high-confidence)	0.0	1.0	
NODE_A15_length_4975_cov_60.147203_BlackFly34	4975	No	NA	2	2	0	High-quality	High-quality	95.35	AAI-based (high-confidence)	0.0	1.0	
NODE_A45_length_4973_cov_9.783701_BlackFly31	4973	No	NA	12	3	0	Low-quality	Genome-fragment	11.66	AAI-based (medium-confidence)	0.0	1.0	
NODE_A41_length_4968_cov_7.322633_BlackFly23	4968	No	NA	6	4	0	Low-quality	Genome-fragment	10.02	AAI-based (high-confidence)	0.0	1.0	
NODE_A35_length_4964_cov_15.981175_BlackFly30	4964	No	NA	11	2	0	Low-quality	Genome-fragment	8.0	HMM-based (lower-bound)	0.0	1.0	
NODE_A113_length_4959_cov_16.709750_BlackFly57	4959	No	NA	9	1	0	Low-quality	Genome-fragment	9.46	AAI-based (high-confidence)	0.0	1.0	
NODE_A42_length_4953_cov_27.455291_BlackFly23	4953	No	NA	10	2	0	Low-quality	Genome-fragment	11.97	AAI-based (high-confidence)	0.0	1.0	
NODE_A46_length_4953_cov_16.614438_BlackFly31	4953	No	NA	6	3	0	Low-quality	Genome-fragment	9.03	HMM-based (lower-bound)	0.0	1.0	
NODE_A48_length_4949_cov_11.514984_BlackFly15	4949	No	NA	5	4	0	Low-quality	Genome-fragment	13.02	AAI-based (high-confidence)	0.0	1.0	
NODE_A67_length_4943_cov_7.455405_BlackFly43	4943	No	NA	10	2	0	Low-quality	Genome-fragment	2.43	HMM-based (lower-bound)	0.0	1.0	
NODE_A47_length_4926_cov_8.430398_BlackFly31	4926	No	NA	9	4	0	Low-quality	Genome-fragment	12.05	AAI-based (medium-confidence)	0.0	1.0	
NODE_A24_length_4910_cov_6.917649_BlackFly59	4910	No	NA	8	6	0	Low-quality	Genome-fragment	9.56	HMM-based (lower-bound)	0.0	1.0	
NODE_A68_length_4908_cov_5.742289_BlackFly43	4908	No	NA	8	1	0	Low-quality	Genome-fragment	10.4	AAI-based (medium-confidence)	0.0	1.0	
NODE_A29_length_4905_cov_9.802817_BlackFly42	4905	No	NA	13	1	0	Low-quality	Genome-fragment	9.27	AAI-based (medium-confidence)	0.0	1.0	
NODE_B24_length_4904_cov_17.096747_BlackFly49	4904	No	NA	12	2	0	Low-quality	Genome-fragment	6.36	HMM-based (lower-bound)	0.0	1.0	
NODE_A26_length_4884_cov_7.909715_BlackFly39	4884	No	NA	7	1	0	Low-quality	Genome-fragment	14.07	AAI-based (medium-confidence)	0.0	1.0	
NODE_A68_length_4873_cov_45.763344_BlackFly16	4873	No	NA	4	3	0	Low-quality	Genome-fragment	14.12	AAI-based (high-confidence)	0.0	1.0	
NODE_A9_length_4861_cov_7.169732_BlackFly18	4861	No	NA	6	4	0	Low-quality	Genome-fragment	10.74	AAI-based (high-confidence)	0.0	1.0	
NODE_A17_length_4856_cov_5.648253_BlackFly53	4856	No	NA	1	1	0	Medium-quality	Genome-fragment	60.46	HMM-based (lower-bound)	0.0	1.0	
NODE_A26_length_4850_cov_6.931699_BlackFly32	4850	No	NA	10	4	0	Low-quality	Genome-fragment	10.1	AAI-based (high-confidence)	0.0	1.0	
NODE_A115_length_4848_cov_8.978830_BlackFly57	4848	No	NA	8	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_A77_length_4846_cov_13.768295_BlackFly28	4846	No	NA	12	7	0	Low-quality	Genome-fragment	2.85	AAI-based (high-confidence)	0.0	1.0	
NODE_A50_length_4845_cov_9712.588297_BlackFly12	4845	No	NA	9	2	0	Low-quality	Genome-fragment	10.34	AAI-based (medium-confidence)	0.0	1.0	
NODE_B39_length_4842_cov_7.778804_BlackFly3	4842	No	NA	10	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_A18_length_4841_cov_74.869018_BlackFly53	4841	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.04	no viral genes detected
NODE_A17_length_4840_cov_6.832668_BlackFly34	4840	No	NA	6	5	0	Low-quality	Genome-fragment	13.73	AAI-based (medium-confidence)	0.0	1.0	
NODE_A29_length_4840_cov_21.406886_BlackFly6	4840	No	NA	8	5	0	Low-quality	Genome-fragment	12.58	AAI-based (medium-confidence)	0.0	1.0	
NODE_A42_length_4838_cov_5.731779_BlackFly27	4838	No	NA	7	1	0	Low-quality	Genome-fragment	9.72	AAI-based (medium-confidence)	0.0	1.0	
NODE_A43_length_4823_cov_10.645807_BlackFly23	4823	No	NA	9	7	0	Low-quality	Genome-fragment	4.84	HMM-based (lower-bound)	0.0	1.0	
NODE_A44_length_4805_cov_10.107657_BlackFly23	4805	No	NA	10	9	0	Low-quality	Genome-fragment	9.7	AAI-based (high-confidence)	0.0	1.0	
NODE_A120_length_4802_cov_5.457566_BlackFly49	4802	No	NA	5	5	0	Low-quality	Genome-fragment	8.23	AAI-based (high-confidence)	0.0	1.0	
NODE_A43_length_4797_cov_8.598729_BlackFly52	4797	No	NA	3	2	0	Low-quality	Genome-fragment	6.0	AAI-based (medium-confidence)	0.0	1.0	
NODE_A49_length_4780_cov_9.099724_BlackFly31	4780	No	NA	2	1	0	Medium-quality	Genome-fragment	52.49	HMM-based (lower-bound)	0.0	1.0	
NODE_A69_length_4765_cov_29.154650_BlackFly16	4765	No	NA	12	2	0	Low-quality	Genome-fragment	2.35	HMM-based (lower-bound)	0.0	1.0	
NODE_A26_length_4758_cov_7.527665_BlackFly59	4758	No	NA	6	2	0	Low-quality	Genome-fragment	6.19	HMM-based (lower-bound)	0.0	1.0	
NODE_B23_length_4751_cov_20.127300_BlackFly29	4751	No	NA	4	3	0	Low-quality	Genome-fragment	7.49	HMM-based (lower-bound)	0.0	1.0	
NODE_A30_length_4742_cov_7.897535_BlackFly9	4742	No	NA	10	6	0	Low-quality	Genome-fragment	10.8	AAI-based (high-confidence)	0.0	1.0	
NODE_A86_length_4723_cov_9.530779_BlackFly19	4723	No	NA	9	4	0	Low-quality	Genome-fragment	6.84	HMM-based (lower-bound)	0.0	1.0	
NODE_A71_length_4709_cov_14.350820_BlackFly43	4709	No	NA	4	2	0	Medium-quality	Genome-fragment	81.31	HMM-based (lower-bound)	0.0	1.0	
NODE_A56_length_4706_cov_8.644416_BlackFly3	4706	No	NA	9	3	0	Low-quality	Genome-fragment	10.54	AAI-based (high-confidence)	0.0	1.0	
NODE_A70_length_4698_cov_16.560052_BlackFly16	4698	No	NA	11	3	0	Low-quality	Genome-fragment	4.42	HMM-based (lower-bound)	0.0	1.0	
NODE_A21_length_4693_cov_6.212088_BlackFly14	4693	No	NA	7	2	0	Low-quality	Genome-fragment	10.39	AAI-based (high-confidence)	0.0	1.0	
NODE_A51_length_4688_cov_44.817393_BlackFly12	4688	No	NA	9	1	0	Low-quality	Genome-fragment	3.15	HMM-based (lower-bound)	0.0	1.0	
NODE_A47_length_4683_cov_10.434868_BlackFly23	4683	No	NA	9	6	0	Low-quality	Genome-fragment	11.43	AAI-based (high-confidence)	0.0	1.0	
NODE_A31_length_4667_cov_7.095207_BlackFly9	4667	No	NA	11	2	0	Low-quality	Genome-fragment	6.0	HMM-based (lower-bound)	0.0	1.0	
NODE_A44_length_4664_cov_6.242860_BlackFly52	4664	No	NA	5	5	0	Low-quality	Genome-fragment	11.42	AAI-based (high-confidence)	0.0	1.0	
NODE_A43_length_4656_cov_35.550120_BlackFly27	4656	No	NA	3	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A51_length_4655_cov_4.945828_BlackFly15	4655	No	NA	12	5	0	Low-quality	Genome-fragment	10.95	AAI-based (high-confidence)	0.0	1.0	
NODE_A18_length_4642_cov_95.454984_BlackFly35	4642	No	NA	2	1	0	High-quality	High-quality	99.2	AAI-based (medium-confidence)	0.0	1.01	
NODE_A44_length_4628_cov_41.836959_BlackFly27	4628	No	NA	11	2	0	Low-quality	Genome-fragment	5.2	HMM-based (lower-bound)	0.0	1.0	
NODE_A127_length_4626_cov_39.580567_BlackFly49	4626	No	NA	2	2	0	High-quality	High-quality	97.72	AAI-based (medium-confidence)	0.0	1.0	
NODE_A120_length_4623_cov_9.304883_BlackFly57	4623	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.03	no viral genes detected
NODE_A58_length_4623_cov_10.705015_BlackFly3	4623	No	NA	10	1	0	Low-quality	Genome-fragment	10.39	AAI-based (medium-confidence)	0.0	1.0	
NODE_A34_length_4619_cov_4.920960_BlackFly4	4619	No	NA	2	1	0	Medium-quality	Genome-fragment	78.63	AAI-based (high-confidence)	0.0	1.0	
NODE_A19_length_4612_cov_1567.792062_BlackFly53	4612	No	NA	2	2	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.01	
NODE_A50_length_4601_cov_7.268568_BlackFly31	4601	No	NA	1	1	0	Medium-quality	Genome-fragment	78.33	AAI-based (high-confidence)	0.0	1.0	
NODE_A45_length_4585_cov_10.508429_BlackFly52	4585	No	NA	2	2	0	High-quality	High-quality	95.27	AAI-based (medium-confidence)	0.0	1.0	
NODE_A26_length_4580_cov_137.164779_BlackFly5	4580	No	NA	2	2	0	High-quality	High-quality	98.63	AAI-based (high-confidence)	0.0	1.0	
NODE_A30_length_4579_cov_121.361173_BlackFly42	4579	No	NA	2	1	0	High-quality	High-quality	98.57	AAI-based (high-confidence)	0.0	1.0	
NODE_A22_length_4576_cov_101.299622_BlackFly14	4576	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
NODE_A48_length_4575_cov_44.458871_BlackFly23	4575	No	NA	2	2	0	High-quality	High-quality	99.67	AAI-based (medium-confidence)	0.0	1.0	
NODE_A7_length_4570_cov_10.134209_BlackFly22	4570	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_A55_length_4557_cov_16.703348_BlackFly36	4557	No	NA	8	3	0	Low-quality	Genome-fragment	7.04	HMM-based (lower-bound)	0.0	1.03	
NODE_A13_length_4549_cov_50.622764_BlackFly45	4549	No	NA	2	2	0	High-quality	High-quality	97.98	AAI-based (high-confidence)	0.0	1.0	
NODE_A25_length_4549_cov_10.496646_BlackFly44	4549	No	NA	9	6	0	Low-quality	Genome-fragment	10.73	AAI-based (high-confidence)	0.0	1.0	
NODE_A32_length_4549_cov_69.222048_BlackFly9	4549	No	NA	2	2	0	High-quality	High-quality	97.98	AAI-based (high-confidence)	0.0	1.0	
NODE_A28_length_4548_cov_22.729367_BlackFly32	4548	No	NA	2	2	0	High-quality	High-quality	98.85	AAI-based (medium-confidence)	0.0	1.0	
NODE_A31_length_4543_cov_47.684281_BlackFly42	4543	No	NA	2	1	0	High-quality	High-quality	97.8	AAI-based (high-confidence)	0.0	1.0	
NODE_A60_length_4541_cov_1296.323701_BlackFly3	4541	No	NA	2	2	0	High-quality	High-quality	98.93	AAI-based (medium-confidence)	0.0	1.0	
NODE_A10_length_4540_cov_12.946000_BlackFly18	4540	No	NA	1	0	0	Low-quality	Genome-fragment	3.65	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NODE_A25_length_4538_cov_30.367182_BlackFly10	4538	No	NA	2	1	0	High-quality	High-quality	96.92	AAI-based (medium-confidence)	0.0	1.0	
NODE_B33_length_4531_cov_40.148406_BlackFly12	4531	No	NA	4	3	0	Low-quality	Genome-fragment	10.1	AAI-based (medium-confidence)	0.0	1.0	
NODE_A54_length_4529_cov_20.038859_BlackFly15	4529	No	NA	4	0	0	Low-quality	Genome-fragment	10.66	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NODE_A57_length_4511_cov_199.162833_BlackFly36	4511	No	NA	2	2	0	High-quality	High-quality	95.85	AAI-based (medium-confidence)	0.0	1.0	
NODE_A19_length_4510_cov_24.888789_BlackFly34	4510	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_A55_length_4508_cov_6.521553_BlackFly15	4508	No	NA	7	3	0	Low-quality	Genome-fragment	8.11	HMM-based (lower-bound)	0.0	1.0	
NODE_A52_length_4507_cov_7.358014_BlackFly31	4507	No	NA	7	4	0	Low-quality	Genome-fragment	9.4	AAI-based (medium-confidence)	0.0	1.0	
NODE_A72_length_4505_cov_7.421183_BlackFly16	4505	No	NA	11	2	0	Low-quality	Genome-fragment	10.22	AAI-based (medium-confidence)	0.0	1.0	
NODE_A7_length_4504_cov_9.219562_BlackFly11	4504	No	NA	12	4	0	Low-quality	Genome-fragment	4.51	HMM-based (lower-bound)	0.0	1.0	
NODE_A80_length_4504_cov_13.749040_BlackFly28	4504	No	NA	5	4	0	Low-quality	Genome-fragment	2.67	AAI-based (high-confidence)	0.0	1.0	
NODE_A27_length_4503_cov_6.534794_BlackFly44	4503	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_A61_length_4501_cov_21.617089_BlackFly3	4501	No	NA	1	1	0	Low-quality	Genome-fragment	39.07	HMM-based (lower-bound)	0.0	1.0	
NODE_A8_length_4499_cov_30.379240_BlackFly22	4499	No	NA	2	2	0	High-quality	High-quality	96.92	AAI-based (high-confidence)	0.0	1.0	
NODE_A32_length_4494_cov_4.988680_BlackFly42	4494	No	NA	8	1	0	Low-quality	Genome-fragment	4.04	HMM-based (lower-bound)	0.0	1.0	
NODE_A46_length_4493_cov_25.871603_BlackFly27	4493	No	NA	2	1	0	High-quality	High-quality	95.48	AAI-based (medium-confidence)	0.0	1.0	
NODE_A14_length_4487_cov_386.151701_BlackFly45	4487	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
NODE_A26_length_4485_cov_3.183076_BlackFly10	4485	No	NA	6	5	0	Low-quality	Genome-fragment	10.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A29_length_4484_cov_17.315861_BlackFly59	4484	No	NA	2	0	0	Low-quality	Genome-fragment	3.61	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NODE_A30_length_4483_cov_9.009759_BlackFly32	4483	No	NA	9	1	0	Low-quality	Genome-fragment	1.28	HMM-based (lower-bound)	0.0	1.0	
NODE_A29_length_4477_cov_5.117955_BlackFly20	4477	No	NA	3	2	0	Low-quality	Genome-fragment	42.7	HMM-based (lower-bound)	0.0	1.0	
NODE_A37_length_4464_cov_26.877593_BlackFly30	4464	No	NA	5	4	0	Low-quality	Genome-fragment	9.03	AAI-based (high-confidence)	0.0	1.0	
NODE_A53_length_4464_cov_74.449054_BlackFly31	4464	No	NA	2	2	0	High-quality	High-quality	99.41	AAI-based (medium-confidence)	0.0	1.0	
NODE_A47_length_4463_cov_24.953260_BlackFly27	4463	No	NA	7	3	0	Low-quality	Genome-fragment	11.79	AAI-based (high-confidence)	0.0	1.0	
NODE_A28_length_4462_cov_4.014823_BlackFly5	4462	No	NA	8	1	0	Low-quality	Genome-fragment	1.8	HMM-based (lower-bound)	0.0	1.0	
NODE_A58_length_4458_cov_124.743438_BlackFly36	4458	No	NA	2	2	0	High-quality	High-quality	97.12	AAI-based (medium-confidence)	0.0	1.0	
NODE_A38_length_4454_cov_29.302947_BlackFly30	4454	No	NA	9	1	0	Low-quality	Genome-fragment	8.64	AAI-based (medium-confidence)	0.0	1.0	
NODE_A54_length_4449_cov_7.867566_BlackFly31	4449	No	NA	5	2	0	Low-quality	Genome-fragment	10.15	AAI-based (high-confidence)	0.0	1.0	
NODE_A4_length_4445_cov_8.147665_BlackFly41	4445	No	NA	7	3	0	Low-quality	Genome-fragment	9.89	AAI-based (medium-confidence)	0.0	1.0	
NODE_A55_length_4440_cov_8.748338_BlackFly12	4440	No	NA	5	4	0	Low-quality	Genome-fragment	11.13	AAI-based (high-confidence)	0.0	1.0	
NODE_A73_length_4440_cov_16.653220_BlackFly16	4440	No	NA	3	1	0	Medium-quality	Genome-fragment	77.4	AAI-based (high-confidence)	0.0	1.01	
NODE_A56_length_4438_cov_111.828709_BlackFly31	4438	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_A62_length_4438_cov_51.180005_BlackFly3	4438	No	NA	2	1	0	High-quality	High-quality	94.36	AAI-based (medium-confidence)	0.0	1.0	
NODE_A50_length_4435_cov_45.273979_BlackFly23	4435	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_A30_length_4428_cov_7.270053_BlackFly5	4428	No	NA	4	4	0	Low-quality	Genome-fragment	1.55	HMM-based (lower-bound)	0.0	1.0	
NODE_A58_length_4426_cov_2.314785_BlackFly15	4426	No	NA	5	4	0	Low-quality	Genome-fragment	6.0	AAI-based (high-confidence)	0.0	1.0	
NODE_A30_length_4420_cov_10.627446_BlackFly59	4420	No	NA	3	0	0	Low-quality	Genome-fragment	3.56	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NODE_A21_length_4418_cov_11.273439_BlackFly34	4418	No	NA	11	3	0	Low-quality	Genome-fragment	11.24	AAI-based (medium-confidence)	0.0	1.0	
NODE_A57_length_4415_cov_432.999308_BlackFly31	4415	No	NA	2	2	0	High-quality	High-quality	95.95	AAI-based (high-confidence)	0.0	1.0	
NODE_A20_length_4411_cov_12.235348_BlackFly35	4411	No	NA	8	6	0	Low-quality	Genome-fragment	9.38	AAI-based (high-confidence)	0.0	1.0	
NODE_A60_length_4411_cov_9.175127_BlackFly36	4411	No	NA	5	3	0	Low-quality	Genome-fragment	6.17	HMM-based (lower-bound)	0.0	1.0	
NODE_A63_length_4410_cov_4.802216_BlackFly3	4410	No	NA	3	2	0	Low-quality	Genome-fragment	9.72	AAI-based (high-confidence)	0.0	1.0	
NODE_A49_length_4409_cov_10.748846_BlackFly29	4409	No	NA	10	2	0	Low-quality	Genome-fragment	7.68	AAI-based (high-confidence)	0.0	1.0	
NODE_A61_length_4408_cov_44.818287_BlackFly36	4408	No	NA	12	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_A8_length_4406_cov_18.509356_BlackFly46	4406	No	NA	2	2	0	High-quality	High-quality	93.11	AAI-based (medium-confidence)	0.0	1.0	
NODE_A22_length_4405_cov_7.399492_BlackFly34	4405	No	NA	8	3	0	Low-quality	Genome-fragment	10.44	AAI-based (medium-confidence)	0.0	1.0	
NODE_A31_length_4404_cov_8.122024_BlackFly32	4404	No	NA	6	3	0	Low-quality	Genome-fragment	5.52	AAI-based (high-confidence)	0.0	1.0	
