	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_A191_length_1201_cov_3.032028_BlackFly22	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	Nigrospora sphaerica victorivirus 1
NODE_A191_length_2477_cov_18.597917_BlackFly3	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Betachrysovirus	Betachrysovirus pripenicillii
NODE_A191_length_2568_cov_18037.541951_BlackFly31	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Alternaviridae	Alternavirus	Fusarium avenaceum alternavirus 1
NODE_A192_length_1291_cov_7.249588_BlackFly35	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A192_length_2070_cov_3.951330_BlackFly34	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated mycovirus 1
NODE_A192_length_2545_cov_7.547002_BlackFly28	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	unclassified
NODE_A193_length_1154_cov_9.713092_BlackFly58	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	Sclerotinia nivalis victorivirus 1
NODE_A193_length_1344_cov_2.538279_BlackFly5	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A193_length_1512_cov_2.019512_BlackFly21	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Ustilaginoidea virens partitivirus 5
NODE_A193_length_2467_cov_38.723013_BlackFly3	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wheat associated vipovirus
NODE_A193_length_3555_cov_8.947096_BlackFly49	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Nipunavirus	unclassified
NODE_A195_length_1056_cov_5.629213_BlackFly20	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A195_length_1382_cov_4.891188_BlackFly53	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated ssRNA virus 9
NODE_A195_length_2478_cov_13.037484_BlackFly16	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Aspergillus lentulus non-segmented dsRNA virus 1
NODE_A195_length_2654_cov_3.487000_BlackFly57	Viruses	unclassified	Naldaviricetes	Lefavirales	Hytrosaviridae	Muscavirus	Musca hytrosavirus
NODE_A196_length_1116_cov_2.216554_BlackFly4	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated mycovirus 1
NODE_A196_length_1379_cov_17.768049_BlackFly53	Viruses	unclassified	unclassified	unclassified	Polymycoviridae	Polymycovirus	Penicillum brevicompactum polymycovirus 1
NODE_A197_length_1324_cov_3.309543_BlackFly5	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Fijivirus	unclassified
NODE_A197_length_1367_cov_57.739535_BlackFly53	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Colletotrichum gloeosporioides partitivirus 1
NODE_A197_length_2140_cov_13.999515_BlackFly23	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Plasmopara viticola lesion associated polymycovirus 3
NODE_A197_length_2428_cov_4.314760_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Pantoea phage PdC23
NODE_A1987_length_1140_cov_8.256820_BlackFly3	Viruses	unclassified	unclassified	unclassified	Anelloviridae	unclassified	unclassified
NODE_A198_length_1048_cov_7.106076_BlackFly20	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	unclassified	unclassified	Plasmopara viticola lesion associated mycobunyavirales-like virus 1
NODE_A198_length_1263_cov_6.150084_BlackFly18	Viruses	unclassified	Naldaviricetes	Lefavirales	Hytrosaviridae	unclassified	Drosophila suzukii associated hytrosavirus 1
NODE_A198_length_1431_cov_2.407681_BlackFly30	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A198_length_1879_cov_765.825194_BlackFly36	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Colletotrichum eremochloae partitivirus 1
NODE_A198_length_2423_cov_3.499147_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Enterobacter phage EC151
NODE_A199_length_1045_cov_6.971074_BlackFly20	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Magnaporthe oryzae polymycovirus 2
NODE_A199_length_1709_cov_4.348652_BlackFly52	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A199_length_1784_cov_25.721148_BlackFly32	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A199_length_2551_cov_22099.823363_BlackFly31	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Alternaviridae	Alternavirus	unclassified
NODE_A19_length_2902_cov_6.881416_BlackFly11	Viruses	unclassified	Naldaviricetes	Lefavirales	Nudiviridae	Alphanudivirus	Oryctes rhinoceros nudivirus
NODE_A19_length_3113_cov_22.116601_BlackFly18	Viruses	unclassified	Naldaviricetes	Lefavirales	Hytrosaviridae	Muscavirus	Musca hytrosavirus
NODE_A19_length_3430_cov_85.805846_BlackFly58	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Alphachrysovirus penicillii
NODE_A19_length_3435_cov_52.119714_BlackFly25	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 30
NODE_A19_length_3865_cov_1441.467001_BlackFly45	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Poaceae Liege alphachrysovirus 3
NODE_A19_length_4612_cov_1567.792062_BlackFly53	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Erysiphe necator associated totivirus 7
NODE_A19_length_5169_cov_708.666929_BlackFly21	Viruses	Negarnaviricota	unclassified	unclassified	unclassified	unclassified	Grapevine-associated negative single-stranded RNA virus 1
NODE_A19_length_6633_cov_12.289353_BlackFly9	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Cripavirus	Bactrocera dorsalis cripavirus isolate Bo
NODE_A1_length_10941_cov_33.802467_BlackFly17	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Riboviria sp.
NODE_A1_length_145739_cov_4378.993224_BlackFly20	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Henunavirus	unclassified
NODE_A1_length_147944_cov_50.530186_BlackFly28	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A1_length_178860_cov_752.098662_BlackFly44	Viruses	Uroviricota	Caudoviricetes	unclassified	Straboviridae	Roskildevirus	Roskildevirus cronus
NODE_A1_length_219545_cov_63.599691_BlackFly23	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Noxifervirus	Noxifervirus noxifer
NODE_A1_length_26678_cov_24.740498_BlackFly33	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Septimatrevirus	Pseudomonas phage PaMx42
NODE_A1_length_282905_cov_503.825449_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Agricanvirus	Erwinia phage AH06
NODE_A1_length_2980_cov_37.704788_BlackFly_NC_Jara_2	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Hubei lepidoptera virus 5
NODE_A1_length_40427_cov_73.817323_BlackFly11	Viruses	Uroviricota	Caudoviricetes	unclassified	Autographiviridae	unclassified	unclassified
NODE_A1_length_49347_cov_9361.809316_BlackFly50	Viruses	Uroviricota	Caudoviricetes	unclassified	Zobellviridae	unclassified	Erwinia phage Pecta
NODE_A1_length_53381_cov_13.647212_BlackFly48	Viruses	Uroviricota	Caudoviricetes	unclassified	Straboviridae	Roskildevirus	Roskildevirus cronus
NODE_A1_length_60093_cov_10932.194731_BlackFly30	Viruses	Uroviricota	Caudoviricetes	unclassified	Casjensviridae	Seodaemunguvirus	Seodaemunguvirus YMC16-01N133
NODE_A1_length_62752_cov_2246.284308_BlackFly43	Viruses	Uroviricota	Caudoviricetes	unclassified	Casjensviridae	Dunedinvirus	Dunedinvirus JS26
NODE_A1_length_70234_cov_38.959747_BlackFly57	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Prokaryotic dsDNA virus sp.
NODE_A1_length_74294_cov_202.265074_BlackFly12	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A1_length_9828_cov_156.569377_BlackFly18	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	unclassified	Budalangi Iflavi-like virus
NODE_A200_length_1840_cov_6.819058_BlackFly15	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	unclassified
NODE_A201_length_1305_cov_7.102606_BlackFly5	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Pseudomonas phage Phabio
NODE_A201_length_1705_cov_94.342752_BlackFly52	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Ustilaginoidea virens partitivirus 2
NODE_A201_length_2445_cov_18.630912_BlackFly16	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	unclassified
NODE_A2026_length_1135_cov_5.311909_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Enterobacter phage EC151
NODE_A202_length_1037_cov_2.197917_BlackFly20	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Caulimoviridae	Badnavirus	Banana streak UL virus
NODE_A202_length_1403_cov_60.909502_BlackFly30	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	unclassified
NODE_A202_length_2043_cov_99.643947_BlackFly34	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	unclassified
NODE_A202_length_2520_cov_8.812116_BlackFly57	Viruses	unclassified	unclassified	unclassified	unclassified	Botybirnavirus	Plasmopara viticola lesion associated botybirna 1
NODE_A2033_length_1234_cov_3.218669_BlackFly14	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	uncultured Caudovirales phage
NODE_A203_length_1302_cov_2.644082_BlackFly5	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Fijivirus	Oat sterile dwarf virus
NODE_A203_length_1398_cov_11.547313_BlackFly30	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Erysiphe necator associated gammapartitivirus 2
NODE_A203_length_2472_cov_9.841754_BlackFly28	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A204_length_1053_cov_3.823770_BlackFly10	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A204_length_1477_cov_5.469286_BlackFly21	Viruses	Uroviricota	Caudoviricetes	unclassified	Autographiviridae	Cronosvirus	unclassified
NODE_A204_length_1664_cov_3.148708_BlackFly59	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A204_length_1698_cov_5.236274_BlackFly52	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Sanya totivirus 11
NODE_A2052_length_1167_cov_2.878899_BlackFly39	Viruses	Kitrinoviricota	Alsuviricetes	Tymovirales	unclassified	unclassified	Leptosphaerulina chartarum flexivirus 1
NODE_A205_length_1355_cov_4.302817_BlackFly53	Viruses	Uroviricota	Caudoviricetes	unclassified	Autographiviridae	unclassified	unclassified
NODE_A205_length_1393_cov_6.566869_BlackFly30	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A205_length_1500_cov_2.799719_BlackFly48	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A205_length_1692_cov_27.300929_BlackFly52	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated bipartite virus 1
NODE_A205_length_2410_cov_15.909559_BlackFly16	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	unclassified	unclassified	Martellivirales sp.
NODE_A2065_length_1129_cov_2.596958_BlackFly3	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bactrocera dorsalis nora virus
NODE_A2068_length_1129_cov_1.858365_BlackFly3	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Caulimoviridae	Badnavirus	unclassified
NODE_A206_length_1290_cov_4.013190_BlackFly5	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Pseudomonas phage PhiPA3
NODE_A206_length_1469_cov_16.132184_BlackFly42	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Discoviridae	Orthodiscovirus	Orthodiscovirus hispaniae
NODE_A206_length_2029_cov_601.670594_BlackFly27	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Capybara virus 22_cap1_591
NODE_A207_length_1047_cov_3.369072_BlackFly10	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A207_length_1828_cov_5.733295_BlackFly36	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A208_length_1628_cov_3.007092_BlackFly59	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A208_length_2461_cov_8.367869_BlackFly31	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Erysiphe necator associated totivirus 8
NODE_A209_length_1442_cov_3.158242_BlackFly21	Viruses	Uroviricota	Caudoviricetes	unclassified	Autographiviridae	Cronosvirus	unclassified
NODE_A209_length_1830_cov_29.011979_BlackFly39	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Colletotrichum eremochloae partitivirus 1
NODE_A209_length_2389_cov_8.317042_BlackFly16	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Ustilago maydis virus H1
NODE_A20_length_12140_cov_876.354307_BlackFly3	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Tabanus rufidens flavivirus
NODE_A20_length_3074_cov_12.076076_BlackFly18	Viruses	unclassified	Naldaviricetes	Lefavirales	Hytrosaviridae	unclassified	Drosophila suzukii associated hytrosavirus 1
NODE_A20_length_3553_cov_122.957710_BlackFly46	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 2
NODE_A20_length_3564_cov_18.189561_BlackFly22	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 30
NODE_A20_length_3688_cov_23.003600_BlackFly38	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 30
NODE_A20_length_3849_cov_239.570520_BlackFly45	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 30
NODE_A20_length_5097_cov_25.985060_BlackFly21	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Penicillium digitatum totivirus 2
NODE_A20_length_5601_cov_15.239862_BlackFly14	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated mycovirus 1
NODE_A20_length_5896_cov_123.737068_BlackFly39	Viruses	unclassified	unclassified	unclassified	unclassified	Botybirnavirus	Plasmopara viticola lesion associated botybirna 1
NODE_A20_length_6523_cov_9.865033_BlackFly20	Viruses	Negarnaviricota	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A20_length_7615_cov_6.791589_BlackFly6	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A2101_length_1123_cov_2.763862_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A210_length_1018_cov_1.857598_BlackFly20	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A210_length_1043_cov_3.476190_BlackFly10	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	unclassified
NODE_A210_length_1340_cov_4.277910_BlackFly53	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A210_length_1426_cov_3.099333_BlackFly42	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Plasmopara viticola lesion associated Partitivirus 3
NODE_A210_length_1765_cov_86.571090_BlackFly15	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Aspergillus creber partitivirus 1
NODE_A2117_length_1222_cov_5.878603_BlackFly14	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated mycovirus 1
NODE_A2117_length_1331_cov_8.575758_BlackFly34	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A2119_length_1129_cov_3.336502_BlackFly27	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Alphachrysovirus penicillii
NODE_A211_length_1028_cov_2.885384_BlackFly_NC_Jara_1	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A211_length_1203_cov_21.316163_BlackFly35	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	Sclerotinia nivalis victorivirus 1
NODE_A211_length_1615_cov_3.875163_BlackFly59	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A211_length_1887_cov_3.332044_BlackFly19	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated mycovirus 1
NODE_A212_length_1352_cov_2.654118_BlackFly30	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	unclassified
NODE_A212_length_1437_cov_6.056618_BlackFly21	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	unclassified	Erysiphe necator associated chryso-like virus 2
NODE_A212_length_1681_cov_216.299252_BlackFly29	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Discoviridae	Orthodiscovirus	Orthodiscovirus hispaniae
NODE_A212_length_1740_cov_3.352375_BlackFly32	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A212_length_2102_cov_5.173333_BlackFly23	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Ustilago maydis virus H1
NODE_A212_length_2336_cov_18.516158_BlackFly16	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	unclassified
NODE_A213_length_1052_cov_5.832821_BlackFly4	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Sanya totivirus 11
NODE_A213_length_1468_cov_10.766355_BlackFly48	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Curvulaviridae	Orthocurvulavirus	Trichoderma harzianum orthocurvulavirus 1
NODE_A213_length_2392_cov_3.036717_BlackFly28	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Erysiphe necator associated totivirus 7
NODE_A214_length_1294_cov_2.820049_BlackFly44	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated mycovirus 1
NODE_A214_length_2313_cov_8.355098_BlackFly16	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Penicillium miczynskii RNA virus 1
NODE_A2156_length_1325_cov_3.044071_BlackFly34	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A2157_length_1155_cov_8.627087_BlackFly39	Viruses	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	unclassified	Alternaria dianthicola umbra-like virus 2
NODE_A2158_length_1155_cov_7.477737_BlackFly39	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	unclassified	Iflaviridae sp.
NODE_A215_length_1039_cov_3.709979_BlackFly10	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A215_length_1123_cov_9.336520_BlackFly46	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Magnaporthe oryzae polymycovirus 2
NODE_A215_length_1327_cov_3.183200_BlackFly53	Viruses	Uroviricota	Caudoviricetes	unclassified	Autographiviridae	unclassified	Erwinia phage Zoomie
NODE_A215_length_1344_cov_10.447514_BlackFly30	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Plasmopara viticola lesion associated polymycovirus 3
NODE_A215_length_1425_cov_3.359792_BlackFly21	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A215_length_1725_cov_18.992112_BlackFly32	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Penicillium aurantiogriseum partiti-like virus
NODE_A216_length_2002_cov_203.422338_BlackFly27	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Corynespora cassiicola bipartite mycovirus 1
NODE_A216_length_2422_cov_48.162900_BlackFly31	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Betachrysovirus	Betachrysovirus neofusicocci
NODE_A217_length_1736_cov_15.425558_BlackFly15	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Fusarium graminearum dsRNA mycovirus 5
NODE_A217_length_1799_cov_3.524971_BlackFly36	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated mycovirus 1
NODE_A217_length_2283_cov_3.941976_BlackFly16	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Ustilago maydis virus H1
NODE_A218_length_1299_cov_3.457447_BlackFly53	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Hortaea werneckii totivirus 1
NODE_A218_length_2408_cov_7.024453_BlackFly31	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Erysiphe necator associated mycovirus 1
NODE_A219_length_1481_cov_3.686610_BlackFly6	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Mymonaviridae	Penicillimonavirus	Penicillimonavirus epsilonplasmoparae
NODE_A219_length_1619_cov_6.725681_BlackFly52	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Grapevine associated chrysovirus-2
NODE_A21_length_1766_cov_51.664890_BlackFly33	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	unclassified	Plasmopara viticola lesion associated dicistro-like virus 1
NODE_A21_length_2134_cov_5.956733_BlackFly41	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A21_length_2972_cov_6.383420_BlackFly18	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A21_length_3290_cov_44.322440_BlackFly25	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Alphachrysovirus macrophominae
NODE_A21_length_3554_cov_110.759563_BlackFly22	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 2
NODE_A21_length_3651_cov_17.672636_BlackFly38	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Grapevine associated chrysovirus-2
NODE_A21_length_5751_cov_103.758195_BlackFly39	Viruses	unclassified	unclassified	unclassified	unclassified	Botybirnavirus	Plasmopara viticola lesion associated botybirna 1
NODE_A21_length_7442_cov_187.677936_BlackFly31	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Fusarium graminearum alphavirus-like virus 1
NODE_A220_length_1312_cov_9.178947_BlackFly30	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Colletotrichum eremochloae partitivirus 1
NODE_A220_length_1595_cov_11.666667_BlackFly59	Viruses	unclassified	Naldaviricetes	Lefavirales	Hytrosaviridae	unclassified	Drosophila suzukii associated hytrosavirus 1
NODE_A220_length_2312_cov_60.354362_BlackFly57	Viruses	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemycircularvirus	Gemycircularvirus oxcor1
NODE_A220_length_2392_cov_21692.297192_BlackFly31	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Alternaviridae	Alternavirus	Fusarium oxysporum alternavirus 1
NODE_A221_length_1413_cov_5.838323_BlackFly21	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A221_length_1585_cov_4.339523_BlackFly59	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Ralstonia phage RP13
NODE_A221_length_1817_cov_5.510920_BlackFly39	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A221_length_2078_cov_4.236882_BlackFly23	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Xian Totiv tick virus 1
NODE_A221_length_2289_cov_7.137432_BlackFly3	Viruses	unclassified	Naldaviricetes	Lefavirales	Nudiviridae	Alphanudivirus	Oryctes rhinoceros nudivirus
NODE_A2221_length_1101_cov_3.143555_BlackFly23	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Pseudomonas phage vB_PpS_SYP
NODE_A222_length_1258_cov_7.809483_BlackFly44	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A222_length_1291_cov_2.493410_BlackFly53	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	unclassified
NODE_A222_length_1609_cov_316.617493_BlackFly52	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Erysiphe necator associated gammapartitivirus 2
NODE_A222_length_2004_cov_8.174883_BlackFly14	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Erysiphe necator associated totivirus 5
NODE_A222_length_2389_cov_30.111592_BlackFly31	Viruses	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	unclassified
NODE_A224_length_2367_cov_10.780786_BlackFly31	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	unclassified
NODE_A225_length_1149_cov_2.523321_BlackFly22	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Plasmopara viticola lesion associated polymycovirus 5
NODE_A225_length_1206_cov_3.039858_BlackFly5	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	unclassified
NODE_A2260_length_1105_cov_3.868677_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	uncultured Caudovirales phage
NODE_A2262_length_1105_cov_2.722763_BlackFly3	Viruses	unclassified	Naldaviricetes	Lefavirales	Nudiviridae	Alphanudivirus	Drosophila melanogaster nudivirus B
NODE_A226_length_1030_cov_3.003148_BlackFly10	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_A226_length_1105_cov_5.391051_BlackFly46	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Sanya totivirus 11
